Date,Majestic_PM10,Majestic_NO,Majestic_NO2,Majestic_CO,Peenya_PM25,Peenya_NO,Peenya_NO2,Peenya_CO,temp_mean,wind_speed,Year,Annual_Vehicle_Total,Vehicle_Total_Scaled,T,BS4_P,BS4_TP,Metro_P,Metro_TP
2016-01-01,105.77,42.87,74.64,1.2,57.06,5.0,32.34,42.54,18.64,3.1,2016,7395314.0,-0.5768892883543146,0,0,0,0,0
2016-01-02,97.4,76.86,106.9,1.41,93.97,6.17,58.82,42.54,18.66,2.45,2016,7395314.0,-0.5768892883543146,1,0,0,0,0
2016-01-03,105.95,73.48,111.38,1.57,62.91,4.04,15.13,42.54,18.55,2.36,2016,7395314.0,-0.5768892883543146,2,0,0,0,0
2016-01-04,100.21,52.75,98.32,1.55,58.4,2.77,21.68,31.12,18.79,2.59,2016,7395314.0,-0.5768892883543146,3,0,0,0,0
2016-01-05,103.88,58.99,99.67,1.57,26.08,2.79,20.92,30.08,18.47,2.08,2016,7395314.0,-0.5768892883543146,4,0,0,0,0
2016-01-06,83.39,68.62,89.37,1.3,17.59,6.39,55.57,5.1,19.44,1.68,2016,7395314.0,-0.5768892883543146,5,0,0,0,0
2016-01-07,74.04,82.63,55.27,0.77,34.84,2.29,17.19,0.3,19.53,2.13,2016,7395314.0,-0.5768892883543146,6,0,0,0,0
2016-01-08,63.57,115.01,59.65,0.68,17.16,52.04,54.92,5.26,19.18,2.05,2016,7395314.0,-0.5768892883543146,7,0,0,0,0
2016-01-09,73.78,122.17,80.6,0.76,34.45,3.14,2.62,10.22,19.34,2.18,2016,7395314.0,-0.5768892883543146,8,0,0,0,0
2016-01-10,61.74,92.56,72.85,0.66,63.33,3.41,15.95,15.18,19.11,1.85,2016,7395314.0,-0.5768892883543146,9,0,0,0,0
2016-01-11,50.76,113.25,60.56,0.59,26.97,2.87,20.82,20.14,19.1,2.13,2016,7395314.0,-0.5768892883543146,10,0,0,0,0
2016-01-12,52.535714285714285,111.45285714285714,64.22571428571429,0.6714285714285714,48.19,4.18,21.0,25.099999999999998,19.43,1.91,2016,7395314.0,-0.5768892883543146,11,0,0,0,0
2016-01-13,54.31142857142857,109.65571428571428,67.89142857142858,0.7528571428571428,85.82,3.74,39.15,30.06,19.15,1.6,2016,7395314.0,-0.5768892883543146,12,0,0,0,0
2016-01-14,56.08714285714286,107.85857142857142,71.55714285714286,0.8342857142857143,99.83,18.16,54.35,34.2,19.41,1.87,2016,7395314.0,-0.5768892883543146,13,0,0,0,0
2016-01-15,57.86285714285714,106.06142857142858,75.22285714285715,0.9157142857142857,111.19,12.04,49.385000000000005,32.43714285714286,20.11,2.05,2016,7395314.0,-0.5768892883543146,14,0,0,0,0
2016-01-16,59.638571428571424,104.26428571428572,78.88857142857142,0.9971428571428571,122.55,5.92,44.42,30.674285714285716,21.11,1.42,2016,7395314.0,-0.5768892883543146,15,0,0,0,0
2016-01-17,61.41428571428571,102.46714285714286,82.55428571428571,1.0785714285714285,82.56,2.64,26.46,28.911428571428573,20.78,2.07,2016,7395314.0,-0.5768892883543146,16,0,0,0,0
2016-01-18,63.19,100.67,86.22,1.16,87.4,4.46,35.11,27.14857142857143,21.33,1.87,2016,7395314.0,-0.5768892883543146,17,0,0,0,0
