Timestamp,PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),CO (mg/m³)
2016-01-01,105.77,42.87,74.64,1.2
2016-01-02,97.4,76.86,106.9,1.41
2016-01-03,105.95,73.48,111.38,1.57
2016-01-04,100.21,52.75,98.32,1.55
2016-01-05,103.88,58.99,99.67,1.57
2016-01-06,83.39,68.62,89.37,1.3
2016-01-07,74.04,82.63,55.27,0.77
2016-01-08,63.57,115.01,59.65,0.68
2016-01-09,73.78,122.17,80.6,0.76
2016-01-10,61.74,92.56,72.85,0.66
2016-01-11,50.76,113.25,60.56,0.59
2016-01-12,,,,
2016-01-13,,,,
2016-01-14,,,,
2016-01-15,,,,
2016-01-16,,,,
2016-01-17,,,,
2016-01-18,63.19,100.67,86.22,1.16
2016-01-19,46.09,88.56,63.78,0.96
2016-01-20,32.65,121.52,58.34,0.81
2016-01-21,73.33,95.92,66.28,0.89
2016-01-22,163.08,139.1,91.69,1.39
2016-01-23,134.84,106.96,66.57,1.16
2016-01-24,88.69,78.09,93.02,1.03
2016-01-25,95.9,42.23,112.08,1.35
2016-01-26,100.11,17.15,76.34,0.87
2016-01-27,82.2,33.83,52.66,1.05
2016-01-28,,,,
2016-01-29,,,,
2016-01-30,319.84,51.39,90.69,2.59
2016-01-31,241.2,28.61,60.08,1.35
2016-02-01,211.16,31.34,61.71,1.63
2016-02-02,227.64,27.23,58.2,2.05
2016-02-03,258.02,26.11,60.71,2.5
2016-02-04,221.82,20.79,51.13,2.28
2016-02-05,240.16,21.02,50.36,2.38
2016-02-06,221.96,17.43,45.85,2.39
2016-02-07,320.42,32.13,59.37,3.02
2016-02-08,137.69,6.9,20.8,2.07
2016-02-09,224.87,17.86,52.54,2.99
2016-02-10,283.11,16.75,59.6,3.18
2016-02-11,197.65,13.78,40.67,2.59
2016-02-12,189.39,13.97,46.77,2.52
2016-02-13,165.65,15.04,44.84,2.34
2016-02-14,143.58,15.87,41.13,1.84
2016-02-15,121.61,19.1,41.56,2.36
2016-02-16,147.54,14.19,35.31,2.33
2016-02-17,166.4,17.23,39.73,2.29
2016-02-18,135.36,17.15,36.29,2.11
2016-02-19,163.94,19.55,45.9,2.11
2016-02-20,106.25,18.52,43.87,2.04
2016-02-21,85.2,19.62,47.38,1.87
2016-02-22,95.65,12.81,39.66,2.29
2016-02-23,89.52,9.47,25.38,2.33
2016-02-24,115.13,12.49,47.71,1.88
2016-02-25,125.72,11.73,36.97,1.1
2016-02-26,136.22,18.22,35.03,1.06
2016-02-27,132.53,26.9,33.79,1.05
2016-02-28,140.48,23.63,34.88,1.17
2016-02-29,172.84,25.88,39.38,1.22
2016-03-01,178.16,21.56,43.86,1.17
2016-03-02,,,,
2016-03-03,,,,
2016-03-04,,,,
2016-03-05,,,,
2016-03-06,,,,
2016-03-07,,,,
2016-03-08,141.67,44.52,124.52,2.43
2016-03-09,149.69,19.56,73.43,1.34
2016-03-10,173.29,24.3,45.89,1.52
2016-03-11,178.79,21.11,32.52,1.37
2016-03-12,172.64,11.85,42.36,1.21
2016-03-13,137.48,10.63,40.01,1.0
2016-03-14,160.44,14.36,80.49,1.29
2016-03-15,147.86,19.78,68.15,1.01
2016-03-16,158.78,17.09,89.41,1.17
2016-03-17,170.47,10.21,59.05,1.19
2016-03-18,210.81,,,1.08
2016-03-19,204.38,40.07,92.86,1.29
2016-03-20,188.31,2.47,4.34,1.3
2016-03-21,149.15,3.56,5.51,1.13
2016-03-22,111.17,1.39,1.88,0.93
