date,temp_mean,temp_max,temp_min,humidity,wind_speed,precipitation,pressure
2016-01-01,18.64,27.08,12.77,73.06,3.1,0.0,92.32
2016-01-02,18.66,27.86,12.14,66.01,2.45,0.0,92.36
2016-01-03,18.55,28.2,10.54,66.4,2.36,0.0,92.24
2016-01-04,18.79,28.14,12.2,65.92,2.59,0.0,92.21
2016-01-05,18.47,27.81,11.41,66.78,2.08,0.0,92.16
2016-01-06,19.44,28.77,12.03,65.47,1.68,0.0,92.13
2016-01-07,19.53,28.35,13.77,67.13,2.13,0.0,92.18
2016-01-08,19.18,27.41,13.63,65.19,2.05,0.0,92.22
2016-01-09,19.34,28.64,12.77,64.18,2.18,0.0,92.04
2016-01-10,19.11,28.51,11.81,62.88,1.85,0.0,92.11
2016-01-11,19.1,28.07,11.4,63.45,2.13,0.0,92.14
2016-01-12,19.43,28.89,11.55,65.35,1.91,0.0,91.99
2016-01-13,19.15,28.24,11.96,68.22,1.6,0.0,91.95
2016-01-14,19.41,29.07,11.72,65.25,1.87,0.0,91.95
2016-01-15,20.11,28.21,14.28,69.49,2.05,0.0,91.89
2016-01-16,21.11,28.96,14.36,66.97,1.42,0.0,91.83
2016-01-17,20.78,28.31,15.3,70.35,2.07,0.0,91.82
2016-01-18,21.33,28.75,15.03,69.44,1.87,0.0,91.78
2016-01-19,22.57,29.45,17.26,71.07,2.02,0.2122651040554046,91.78
2016-01-20,22.54,28.54,18.22,75.56,1.77,0.1440111994743347,91.88
2016-01-21,22.83,29.31,18.45,75.45,1.67,4.497172832489014,91.96
2016-01-22,21.66,27.43,18.32,73.08,2.77,0.0,92.04
2016-01-23,22.49,30.08,16.83,73.83,3.06,0.0,92.08
2016-01-24,23.28,30.28,17.79,70.39,2.42,0.0,92.12
2016-01-25,23.72,30.63,17.9,68.87,2.05,0.0,92.02
2016-01-26,23.64,30.49,18.24,69.08,1.81,0.0,91.96
2016-01-27,23.23,31.67,17.61,64.6,2.04,0.0,91.97
2016-01-28,22.66,31.96,16.42,62.43,1.8,0.0,92.0
2016-01-29,22.09,32.08,14.19,61.31,2.35,0.0,92.07
2016-01-30,21.57,31.42,14.53,61.01,2.34,0.0,92.08
2016-01-31,21.36,32.12,13.27,55.89,2.67,0.0,92.04
2016-02-01,21.17,32.39,11.76,48.78,2.46,0.0,92.03
2016-02-02,21.61,32.72,13.2,51.07,2.37,0.0,92.07
2016-02-03,21.74,31.82,13.85,50.12,2.31,0.0,91.98
2016-02-04,21.87,31.94,13.46,54.49,2.82,0.0,91.98
2016-02-05,21.67,31.15,13.45,58.02,2.12,0.0,91.95
2016-02-06,22.63,32.05,14.84,60.89,2.39,0.0,91.84
2016-02-07,24.23,32.54,17.27,63.35,1.61,0.0,91.95
2016-02-08,24.94,33.49,17.31,59.49,2.17,0.0,91.91
2016-02-09,24.35,33.22,17.47,55.08,2.06,0.0,91.9
2016-02-10,24.12,32.92,15.67,54.64,1.66,0.0,91.87
2016-02-11,25.06,32.69,17.12,55.03,1.8,0.0,91.82
2016-02-12,25.33,33.16,18.14,50.29,2.5,0.0,91.81
2016-02-13,24.79,33.21,16.93,52.15,2.08,0.0,91.84
2016-02-14,24.24,33.18,17.68,52.25,3.39,0.0,91.87
2016-02-15,23.4,33.03,14.67,54.95,3.17,0.0,91.96
2016-02-16,24.4,33.93,17.37,54.41,3.44,0.0,92.0
2016-02-17,23.77,32.64,15.34,54.95,3.86,0.0,92.02
2016-02-18,24.24,32.41,18.08,55.44,4.17,0.0,92.02
2016-02-19,24.3,33.86,15.19,48.32,3.11,0.0,92.11
2016-02-20,26.09,36.23,17.1,52.73,2.09,0.0,92.06
2016-02-21,26.94,36.21,19.64,50.4,1.79,0.0,91.98
2016-02-22,26.83,36.74,18.6,47.4,2.39,0.0,92.04
2016-02-23,26.13,37.06,16.88,44.39,2.25,0.0,91.94
2016-02-24,26.02,36.01,17.28,46.93,2.01,0.0,91.86
2016-02-25,26.99,36.68,17.56,44.89,2.5,0.0,91.9
2016-02-26,26.42,35.11,20.44,54.53,3.69,0.0,92.03
2016-02-27,24.43,32.66,18.24,53.73,3.54,0.0,92.14
2016-02-28,25.71,33.85,19.52,55.52,3.46,0.0,92.23
2016-02-29,25.52,34.52,18.96,53.64,3.58,0.0,92.19
2016-03-01,25.35,33.64,18.78,54.72,3.26,0.0,92.03
2016-03-02,23.98,30.33,19.61,55.39,3.12,0.0,92.07
2016-03-03,25.53,34.21,17.69,49.89,3.54,0.0,92.1
2016-03-04,25.53,34.53,18.04,42.16,2.72,0.0,91.98
2016-03-05,25.79,34.7,17.92,44.76,2.8,0.0,91.88
2016-03-06,26.02,35.97,18.85,46.12,2.73,0.0,91.82
2016-03-07,26.32,36.0,18.58,46.35,2.72,0.0,91.79
2016-03-08,26.67,36.64,18.08,45.6,2.08,0.0,91.74
2016-03-09,25.98,32.65,19.53,45.07,2.24,0.0,91.84
2016-03-10,25.81,33.04,19.17,48.91,1.98,0.0,91.89
2016-03-11,27.53,37.35,18.49,41.14,1.96,0.0,91.88
2016-03-12,27.96,36.51,19.68,45.73,2.47,0.0,91.83
2016-03-13,28.49,34.55,22.72,44.14,1.63,0.0,91.84
2016-03-14,28.93,35.15,22.66,44.95,1.94,0.1067456007003784,91.85
2016-03-15,26.82,32.47,22.51,58.65,2.27,0.0,91.86
2016-03-16,27.19,34.68,20.09,58.88,1.34,44.9711799621582,91.79
2016-03-17,26.98,33.66,20.41,60.24,1.78,3.098695993423462,91.85
2016-03-18,27.75,35.57,20.54,51.19,1.96,0.0,91.81
2016-03-19,27.71,35.71,19.4,47.4,1.55,0.0,91.8
2016-03-20,28.24,36.6,18.86,42.22,2.0,0.0,91.81
2016-03-21,29.03,37.5,20.52,37.9,1.8,0.0,91.75
2016-03-22,29.19,37.61,21.5,36.41,1.59,0.0,91.62
2016-03-23,29.97,37.23,21.95,39.63,1.79,0.0,91.67
