Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),CO (mg/m³)
2016-01-01,57.06,,5.0,32.34,
2016-01-02,55.19,,6.74,53.12,
2016-01-03,62.28,,9.25,56.36,9.77
2016-01-04,66.29,,5.62,51.36,16.77
2016-01-05,73.86,,10.75,66.58,
2016-01-06,65.18,,6.53,56.79,
2016-01-07,64.23,,19.71,69.08,14.02
2016-01-08,83.62,,9.62,69.78,
2016-01-09,64.88,,10.02,58.84,
2016-01-10,61.07,,3.5,32.15,
2016-01-11,58.95,,3.56,32.76,33.64
2016-01-12,81.19,,4.27,38.76,
2016-01-13,85.82,,3.74,39.15,30.06
2016-01-14,99.83,,18.16,54.35,34.2
2016-01-15,,,,,
2016-01-16,122.55,,5.92,44.42,
2016-01-17,82.56,,2.64,26.46,
2016-01-18,87.4,,4.46,35.11,
2016-01-19,100.46,,6.89,33.39,
2016-01-20,84.03,,15.03,27.64,
2016-01-21,68.37,,28.68,31.12,21.86
2016-01-22,81.29,,6.49,26.51,40.77
2016-01-23,79.65,,3.1,15.74,23.54
2016-01-24,50.87,,2.33,14.58,
2016-01-25,60.77,,4.02,19.51,20.52
2016-01-26,60.04,,3.28,19.53,42.6
2016-01-27,60.13,,5.58,23.63,
2016-01-28,100.76,,37.74,36.01,32.33
2016-01-29,94.2,,4.94,27.49,
2016-01-30,87.49,,6.09,38.66,
2016-01-31,133.31,,10.46,43.22,
2016-02-01,93.97,,6.17,58.82,
2016-02-02,74.56,,10.64,59.14,10.27
2016-02-03,81.48,,4.38,55.7,39.05
2016-02-04,74.62,,4.75,53.05,15.06
2016-02-05,81.32,,3.84,50.84,18.27
2016-02-06,78.1,,2.97,42.61,
2016-02-07,112.16,,4.36,44.42,28.0
2016-02-08,97.69,,2.48,33.87,
2016-02-09,104.2,,3.1,41.29,5.62
2016-02-10,103.96,,3.17,46.46,47.35
2016-02-11,95.17,,3.08,43.71,
2016-02-12,104.98,,2.73,42.53,
2016-02-13,100.11,,2.5,40.07,
2016-02-14,73.89,,1.74,29.39,26.21
2016-02-15,70.11,,5.07,41.59,31.11
2016-02-16,51.11,,3.02,21.78,19.5
2016-02-17,65.97,,3.22,24.07,30.3
2016-02-18,,,,,
2016-02-19,74.38,,2.39,25.98,
2016-02-20,68.8,,3.26,25.99,
2016-02-21,80.4,,4.06,23.68,40.03
2016-02-22,125.89,,3.8,24.11,19.61
2016-02-23,225.61,,3.27,27.44,34.99
2016-02-24,174.96,,2.88,22.32,25.86
2016-02-25,104.64,,2.66,16.35,26.85
2016-02-26,81.92,,4.46,16.52,33.76
2016-02-27,60.09,,5.41,75.35,36.64
2016-02-28,57.04,,4.6,84.87,29.49
2016-02-29,65.67,,4.03,14.58,26.8
